spCode,spName,gHabit,Categorization2,Categorization,Nat_Non,covertype,csprouting
CENMEL,Centaurea_melitensis,Forb,NN_Forb,FORB_Annual,NONNATIVE,plant,non
CERBET,Cercocarpus_betuloides,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
CERGLO,Cerastium_glomeratum,Forb,NN_Forb,FORB_Annual,NONNATIVE,plant,non
CHAALB,Chamaesyce_albomarginata,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
CHAART,Chaenactis_artemisiifolia,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
CHAGLA,Chaenactis_glabriuscula,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
CHASPP,Chaenactis_species,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
CHEALB,Chenopodium album,Forb,NN_Forb,FORB_Annual,NONNATIVE,plant,non
CHECAL,Chenopodium_californicum,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
CHEMUR,Chenopodium murale,Forb,NN_Forb,FORB_Annual,NONNATIVE,plant,non
CHLPAR,Chlorogalum_parviflorum,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
CHLPOM,Chlorogalum_pomeridianum,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
CHLSPP,Chlorogalum_species,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
CHOPAR,Chorizanthe parryi,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
CIROCC,Cirsium_occidentale,Forb,NativeForb,FORB_Biennial,NATIVE,plant,non
CIRSPP,Cirsium_species,Forb,NativeForb,FORB_Biennial,NATIVE,plant,non
CLAPAR,Claytonia_parviflora,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
CLAPER,Claytonia_perfoliata,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
CLAPUR,Clarkia_purpurea,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
COLHET,Collinsia_heterophylla,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
CONARV,Convolvulus_arvensis,Forb,NN_Forb,FORB_Perennial,NONNATIVE,plant,non
CONCAN,Conyza_canadensis,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
CONMAC,Conium_maculatum,Forb,NN_Forb,FORB_Biennial,NONNATIVE,plant,non
CORFIL,Corethrogyne_filaginifolia,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
CORRIG,Cordylanthus_rigidus,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
CORSPP(D),dead_Corethrogyne,Dead,Standing_Dead,STANDING DEAD ORGANIC MATTER,NATIVE,plant,non
CRACON,Crassula_connata,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
CROSET,Croton_setigerus,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
CRYINT,Cryptantha_intermedia,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
CRYMIC,Cryptantha_micromeres,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
CRYMUR,Cryptantha_muricata,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
CRYSPP,Cryptantha_species,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
CUPFOR,Hesperocyparis_forbesii,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
